Gene	Num
TUBA3C	6
PCDH17	6
KMT2A	6
TRAM1L1	6
LRRC32	6
TAF1L	6
MYH1	6
PCDH10	6
SLIT2	6
FAT1	6
NRG3	6
ABCA2	6
SCN2A	6
SIPA1L1	6
BRCA2	6
KCNN2	6
RIMBP2	6
ZNF721	6
RASA1	6
RGPD4	6
CNGB3	6
TNR	6
MAGEL2	6
WDR87	6
UNC5C	6
L3MBTL4	6
SCN11A	6
CNTN3	6
PRDM9	6
NPAP1	6
DSCAML1	6
NCKAP5	6
DPP10	6
ANKRD50	6
POSTN	6
ZNF98	6
BAZ2B	6
OR5M3	6
EVC	6
DLC1	6
MAGEE1	6
USP24	5
KIAA2022	5
NLRP12	5
HIVEP2	5
OR5D14	5
YEATS2	5
DMBT1	5
GLI3	5
AGBL1	5
TSC2	5
NALCN	5
CENPE	5
CTNNA3	5
RGS12	5
MGAM	5
ICE1	5
RAPGEF4	5
COL18A1	5
SATB2	5
EEF2	5
CACNA1H	5
FRAS1	5
FARP1	5
DCAF12L2	5
RFX6	5
OTOG	5
PTPRU	5
CORO7	5
ATM	5
COL6A6	5
ZFHX3	5
TNN	5
FCRL3	5
PCDH1	5
EPHA5	5
DGKI	5
PCDHA8	5
UBQLN3	5
PLXND1	5
RNF17	5
CNTN4	5
ZNF90	5
MAGI2	5
CDH23	5
CHD5	5
GCN1L1	5
MTOR	5
RB1	5
CHAT	5
BAZ2A	5
GABRA6	5
MGAT5B	5
OR10X1	5
FSTL5	5
PAK6	5
ANKHD1-EIF4EBP3	5
KMT2E	5
HDLBP	5
DSCAM	5
FRY	5
JAKMIP2	5
TRIM49C	5
CCDC85A	5
STARD13	5
PRR14L	5
CNTNAP2	5
COL22A1	5
LRRC7	5
GABRA1	5
INSR	5
CHD9	5
CCSER1	5
SPAG17	5
TDRD5	5
ZNF727	5
CPXM2	5
EFCAB6	5
IGSF10	5
ST6GAL2	5
ZFAND4	5
TTC28	5
TRPA1	5
COL6A1	5
GRIA4	5
DOCK4	5
TRIML2	5
CDK12	5
MYO1F	5
GREB1	5
DCSTAMP	5
VPS13C	5
DCAF12L1	5
OR10Z1	5
ECEL1	5
TLL1	5
MAP1A	5
MTCL1	5
ATF7IP	5
DENND4B	5
KCNH1	5
PIKFYVE	5
OR4C15	5
MYO7B	5
PCDHA4	5
SLC12A1	5
CABIN1	5
SLC39A12	5
SPATA31A1	5
DAPK1	5
ZNF568	5
MCC	5
CNTN5	5
NAP1L3	5
PCDHGA3	5
KIAA1549	5
PCDHGC5	5
CPS1	5
DMXL2	5
SMC2	5
CSPG4	5
NUP210	5
TRANK1	5
C10orf90	5
EGFR	5
PCDHA12	5
SETX	5
MAML2	5
RECQL	5
OBSL1	5
NBEAL1	5
SLC8A1	5
PDS5B	5
MGA	5
DIAPH2	5
C2CD3	5
KIAA1549L	5
ZNF735	5
PCDHA11	5
EML4	5
CIC	5
DLG2	5
CTNNA2	5
UNC13A	5
TTC21B	5
KDM3B	5
SYNJ1	5
MAP1B	5
ZNF730	5
MED13	5
TRIP12	5
HRNR	5
ALK	5
NOS3	5
ADGRB1	5
ARHGAP23	5
PCDHB7	5
STAB2	5
INHBA	5
COL19A1	5
WDFY3	5
LRP1	5
ZNF540	5
PRKD1	5
CDH2	5
FBXO10	5
TECTA	5
AMBRA1	5
GRID2	5
EPHA3	5
STARD9	5
ARFGEF3	5
OMA1	5
LRRC9	5
ROS1	5
MYO7A	5
HELB	5
FAM160A2	5
PTPN21	5
PPP1R21	5
PLCG1	5
KIDINS220	5
MXRA5	5
BDP1	5
CNTN1	5
ATP10A	5
ADAM12	5
MEGF6	5
SPATA31A3	5
