Gene	Type
METTL3	writers
METTL14	writers
METTL16	writers
WTAP	writers
VIRMA	writers
ZC3H13	writers
RBM15	writers
RBM15B	writers
YTHDC1	readers
YTHDC2	readers
YTHDF1	readers
YTHDF2	readers
YTHDF3	readers
HNRNPC	readers
FMR1	readers
LRPPRC	readers
HNRNPA2B1	readers
IGFBP1	readers
IGFBP2	readers
IGFBP3	readers
RBMX	readers
FTO	erasers
ALKBH5	erasers
