id	filename	md5	size	state
002a6744-018f-4ef0-92e0-94497f387700	94c8cb9a-031f-4265-adfe-23f393544716.FPKM.txt.gz	1b0248cc4441e57c0af363eaef93d255	541347	validated
008a4a96-f8fd-4d8c-94ed-6a6536272d79	08ffe9f1-03d6-4ca6-8660-48dc8c138930.FPKM.txt.gz	bb7a2a7cb0490389ded56a6eb19531e9	579100	validated
00f8f1a7-1254-46bd-848b-36d919c89f13	4d8304a1-6e6a-4645-9c1a-6cd8da9ce2e5.FPKM.txt.gz	8d41f0abaec514b53556efd1b02ea1e9	579948	validated
012df414-c85b-4ed1-a85e-d5862ca31cc7	9f8fbee2-eb43-4851-8b27-ecd9e9a2b8f2.FPKM.txt.gz	231fc7fb817dd301d78f68da24bfd178	555212	validated
0143afcb-e9f1-4eb2-8d1a-744ec300c4c4	e4b3c9a8-ef5c-457a-85a8-8cc903231ba8.FPKM.txt.gz	c4fdf8c498309f7c71ea4f45cdff40dd	559073	validated
01b121b3-0c4d-4059-97ba-3bdae7aca844	0f1e2e80-1bc6-4c48-abff-06ae9663381c.FPKM.txt.gz	47a03b480b40eecc20815c579d9ff325	543174	validated
03bc7a28-e9fc-4c85-af03-4dd8c7fbfcc8	65d6fed9-6792-468f-a189-387c042e2393.FPKM.txt.gz	26b8710be685cff2df4326e9d4e0cecc	565710	validated
03d787f7-0d18-428a-88ef-6fa491f7aead	36de0aa6-191b-4a7e-b4e7-4f37f68c9ced.FPKM.txt.gz	32ed3b3af2b9c9b19b8fc49a6bf23795	564258	validated
045ff7fa-38cb-4877-831a-c904a11d76a3	d90c6768-8bea-4106-8e54-e1b28d35be53.FPKM.txt.gz	06dd859c1f474ffbf84c5b791031f8b2	571692	validated
0503bc4c-ac07-46be-a3de-31e1e0a1d9fb	3e4724e7-d7a5-4f3b-b1c0-64805f7008a5.FPKM.txt.gz	36967dbf3a57f2f18f01e5da103b8714	573144	validated
0739d999-100e-4595-b349-1ea678257871	bc8d5743-bec0-40b2-ae96-4e6cf133f89b.FPKM.txt.gz	687d77f5e6a396f27e1eed2d01a8ac27	548976	validated
08c255ce-50b4-4269-acbb-f2232063f332	3a239b72-290f-43d7-ae89-fdfe7f4f5c26.FPKM.txt.gz	bb7594f2392c9482c68d896537898157	574339	validated
0946e644-50c2-44b7-b68f-2aeb26e2d2e3	23f04c87-a093-4a1a-a1a5-d2928cc3c78b.FPKM.txt.gz	3fe350da5a6e4b266d52a54fe456bfb9	545576	validated
09fe6aaa-3d6b-4a54-817b-22f31f71bb38	0786a0c1-10a8-43b7-859c-c33fecff5240.FPKM.txt.gz	c3a2e349c4e18d6eb79f32f43df3186d	553526	validated
0a24f5e2-4827-4597-b2c0-501ad8dcdf7d	bfcad2ca-d4b2-40b3-bcd3-534d4b41acc2.FPKM.txt.gz	97d28eb1759df4f856c32e0e34d30c6a	563350	validated
0d524bc7-a5d2-49ae-aef9-bb6c9d1cfe82	bd21dc2e-56f8-423a-9e7f-1f6c81022551.FPKM.txt.gz	cc835ad2aac17ca2c603fcd0a5aa9cbc	610983	validated
0fa5a9f0-72e5-4322-bccd-11247f7f7838	9c2456d9-fbdf-4db3-9064-3233ccdf75db.FPKM.txt.gz	40d6746978479c889a7b37f1e3f753ae	616297	validated
100e4313-25b9-402c-900a-4c9427499ba0	480fcc2d-7e37-44f5-b037-916f39868595.FPKM.txt.gz	f9c57b179d07003734ab63b26231c641	552850	validated
101d2a43-b32b-4e7d-8c46-8c8e51f418fd	9a0c6c0a-262f-4177-8caa-7a73e5b78a47.FPKM.txt.gz	df66b7a85d9a4198136988fd1d44ea50	575010	validated
103a3e5c-1448-4286-8d7d-82e598f8bb6e	46b5ab81-1f2b-4f0b-b7ec-dbfe712890da.FPKM.txt.gz	1757193e5cf7a3cf1870b9dcefbdbc2f	571620	validated
118b49a1-4651-414d-8d20-721fb71e8fcf	f2f003c0-9758-47fb-838a-aa0b5c1535cb.FPKM.txt.gz	bc5f8a8f126b894966f74705a922f761	569450	validated
162ef724-bfa3-4d45-aff1-70eef7644219	dd872188-5fce-452a-9d94-9fc82253610f.FPKM.txt.gz	349feb0ef7efe874a949a74e6c15a498	557380	validated
181697e7-42b7-44e9-bb9d-db5c434b100a	f81ffc34-a57e-4136-9816-cc498c33eb3a.FPKM.txt.gz	fd86ed2e45b4052f6d7e574eb2cc7278	553680	validated
1f1290fe-c64e-4caa-a57f-b1623d20c631	2116d78c-4385-4b77-bbd5-eac05ef6a169.FPKM.txt.gz	24bb7a9e05c8bd9bda03a4cee7fc8ad1	562573	validated
21a95c6e-59f6-4a59-b1f3-d6bebdb7b445	9e2d7048-48a8-4197-9bc3-5709608a723d.FPKM.txt.gz	799192f9b381bf7d0e84e6151f3ff232	565300	validated
22cc5ada-af6b-4ce8-8cc5-103c23398562	acb73f33-8386-4bf4-a52a-4c2518177da7.FPKM.txt.gz	93b5298854af933c5e426fe8c2e6dab3	559006	validated
23b22779-f148-4eed-b65f-d2916eab23d2	a7230a9f-317b-4ffb-b4e1-2019473b81d8.FPKM.txt.gz	3eb9f88cca60cd204988732f78d2b645	565078	validated
242dfd01-a6b7-4a38-8b2b-bea9f40c2a5e	32340e45-00fa-4739-be97-3934c30cb1f6.FPKM.txt.gz	860a42d6feec77723abc939fd5a2fb3d	621347	validated
24b7d0f4-c4e7-476f-ab98-dba56270d722	ec4e2d4f-508b-41db-9bfc-93dffe396d07.FPKM.txt.gz	38bc951161bb1e586a01ca0bfd5e4fd5	607204	validated
26f07f79-3e6c-4841-8ebe-73ce25211e32	34116336-9f5b-490b-be55-895a7e6f277e.FPKM.txt.gz	129a127f2bd68c8023d95c76e37df071	573820	validated
299e0cee-fbd2-4e32-a8bf-38c2acfccc84	8329e730-1483-4567-af1b-a092cf294879.FPKM.txt.gz	61f12447bb9302f1343e855082b3058f	561954	validated
