id	m6Ascore
TCGA_TCGA-AF-3911	-3.68857613605859
TCGA_TCGA-AG-4021	-5.87579528934747
TCGA_TCGA-EI-6510	-3.84073651823041
TCGA_TCGA-AF-2690	7.64339285437158
TCGA_TCGA-AG-4022	-0.944911790040357
TCGA_TCGA-EI-6507	-3.96480469658864
TCGA_TCGA-CL-4957	-6.2042967690068
TCGA_TCGA-F5-6861	-4.76784636015098
TCGA_TCGA-AG-3731	-5.82644463878481
TCGA_TCGA-EI-6917	-8.31434241758738
TCGA_TCGA-EI-6512	-4.78088630863709
TCGA_TCGA-AG-3896	0.590876186673652
TCGA_TCGA-F5-6864	0.429282093345326
TCGA_TCGA-AG-A01L	0.0517221251616647
TCGA_TCGA-AG-A00Y	1.26086120144726
TCGA_TCGA-AG-3575	-2.82794005335109
TCGA_TCGA-AG-A023	5.91114622231983
TCGA_TCGA-F5-6863	-2.15180581673801
TCGA_TCGA-DY-A1DE	-2.54736412271851
TCGA_TCGA-F5-6814	-6.27317032327037
TCGA_TCGA-AH-6549	-9.43007915834188
TCGA_TCGA-AG-3726	19.1390063346213
TCGA_TCGA-AG-A01Y	-1.07165382378442
TCGA_TCGA-EI-6882	-11.5786895418984
TCGA_TCGA-DC-5869	-7.39090656779361
TCGA_TCGA-AG-A032	7.04887422327492
TCGA_TCGA-AG-3887	1.44251012931801
TCGA_TCGA-AG-A026	6.46194580067562
TCGA_TCGA-DY-A1H8	9.53543190466143
TCGA_TCGA-AG-3894	1.30888296462188
TCGA_TCGA-EI-6508	-7.15037064265749
TCGA_TCGA-EI-6506	-3.64154103884571
TCGA_TCGA-AG-3892	1.31905020187508
TCGA_TCGA-AG-A01W	-3.16262477605012
TCGA_TCGA-AG-3587	1.64378096034689
TCGA_TCGA-CI-6622	-3.07779911527869
TCGA_TCGA-F5-6571	0.212836601974421
TCGA_TCGA-AG-A002	-2.44157745797304
TCGA_TCGA-EF-5830	-3.48709272631084
TCGA_TCGA-AG-A011	6.54284702646143
TCGA_TCGA-AG-A02N	-3.37598035018948
TCGA_TCGA-AG-4005	-1.50045690952378
TCGA_TCGA-EI-6513	-5.55504194835249
TCGA_TCGA-AG-A00H	3.58699083448845
TCGA_TCGA-BM-6198	2.80012006272999
TCGA_TCGA-CI-6619	-3.3229288462927
TCGA_TCGA-AG-A025	2.9300469275414
TCGA_TCGA-CI-6621	-2.85206132076722
TCGA_TCGA-AG-A008	-2.79094858441246
TCGA_TCGA-AG-A036	-5.95896316090538
TCGA_TCGA-AG-3612	3.96180710507729
TCGA_TCGA-CI-6623	-6.77109308010189
TCGA_TCGA-F5-6810	-6.76144983018928
TCGA_TCGA-EI-6509	0.841093866006405
TCGA_TCGA-AF-4110	3.36174287240617
TCGA_TCGA-AG-A02G	4.32107000399636
TCGA_TCGA-AG-3883	17.6968501843909
TCGA_TCGA-AG-3728	15.1433628133357
TCGA_TCGA-EI-6881	-9.27688532076735
TCGA_TCGA-EI-6883	0.520730441763049
TCGA_TCGA-AG-A00C	-1.40783776675372
TCGA_TCGA-EI-6511	2.19077368614689
TCGA_TCGA-EI-6885	-0.157677955286096
TCGA_TCGA-AG-3878	15.6054045088745
TCGA_TCGA-DY-A1DG	1.50290953893203
TCGA_TCGA-AG-3574	8.2156933356872
TCGA_TCGA-AG-A015	-3.0511180307151
TCGA_TCGA-AG-3608	1.85997180474978
TCGA_TCGA-AG-A01J	7.73743711530241
TCGA_TCGA-AF-2692	-2.25674900114918
TCGA_TCGA-AG-A02X	-5.45813125590701
TCGA_TCGA-AG-A020	-6.41372683749167
TCGA_TCGA-AG-3890	7.50409490407503
TCGA_TCGA-AG-A014	3.99679666150974
TCGA_TCGA-CI-6624	-0.847261744197241
TCGA_TCGA-EI-6884	-5.87446922281317
TCGA_TCGA-DT-5265	3.85271362260679
TCGA_TCGA-EF-5831	-4.98167473806447
TCGA_TCGA-AG-A01N	6.14545198285616
TCGA_TCGA-AG-3584	7.64165950943003
TCGA_TCGA-AG-3885	12.770167713338
TCGA_TCGA-CL-5918	2.79890471154834
TCGA_TCGA-EI-7002	0.490321087631647
TCGA_TCGA-AG-3898	-0.654557911065588
TCGA_TCGA-G5-6233	-2.45848385270379
TCGA_TCGA-DC-6158	-5.76434951185288
TCGA_TCGA-EI-6514	2.65206341001601
TCGA_TCGA-AG-A016	0.737534219350279
TCGA_TCGA-CI-6620	-8.24730851973886
GSE133057_GSM3899156	-3.16561243462468
GSE133057_GSM3899157	-6.19749718532003
GSE133057_GSM3899158	-1.99730364037921
GSE133057_GSM3899159	3.04163787292523
GSE133057_GSM3899160	-5.10105963530509
GSE133057_GSM3899161	5.70942499924309
GSE133057_GSM3899162	-1.82377431410209
GSE133057_GSM3899163	1.12732251784783
GSE133057_GSM3899164	7.94395604013308
GSE133057_GSM3899165	7.21698907449852
GSE133057_GSM3899166	0.659713986914821
GSE133057_GSM3899167	2.37033685616074
GSE133057_GSM3899168	-1.25074602951472
GSE133057_GSM3899169	0.802226258687961
GSE133057_GSM3899170	-2.53844138643695
GSE133057_GSM3899171	3.23978271105974
GSE133057_GSM3899172	1.69018129053527
GSE133057_GSM3899173	0.0890822072420543
GSE133057_GSM3899174	4.51547391098881
GSE133057_GSM3899175	0.525884490144895
GSE133057_GSM3899176	-1.16157683198813
GSE133057_GSM3899177	-0.895466563292931
GSE133057_GSM3899178	-1.96515221191514
GSE133057_GSM3899179	-3.66233985141643
GSE133057_GSM3899180	0.860268131995996
GSE133057_GSM3899181	3.32880913205346
GSE133057_GSM3899182	-4.78930104939796
GSE133057_GSM3899183	-0.446042228977028
GSE133057_GSM3899184	-2.12173560478353
GSE133057_GSM3899185	-1.15059473403522
GSE133057_GSM3899186	-2.015503330905
GSE133057_GSM3899187	3.0533585692768
GSE133057_GSM3899188	-7.12004898356957
